"Artista";"Titulo";"Duracion";"Categoria";"Idioma";"Carpeta";"Letra";"Cancion";"Video"
"Camilo Sesto";"Vivir así es morir de amor";"N/A";"N/A";"Español";"Camilo Sesto - Vivir así es morir de amor.txt";"C:\UltraStar canciones\Camilo Sesto - Vivir así es morir de amor\Camilo Sesto - Vivir así es morir de amor.txt";"N/A";"C:\UltraStar canciones\Camilo Sesto - Vivir así es morir de amor\Camilo Sesto - Vivir así es morir de amor.mp4"
"Camilo y Evaluna Montaner";"Índigo";"N/A";"Pop";"Español";"Camilo y Evaluna Montaner - Índigo.txt";"C:\UltraStar canciones\Camilo y Evaluna Montaner - Índigo\Camilo y Evaluna Montaner - Índigo.txt";"C:\UltraStar canciones\Camilo y Evaluna Montaner - Índigo\Camilo y Evaluna Montaner - Índigo.mp3";"C:\UltraStar canciones\Camilo y Evaluna Montaner - Índigo\Camilo y Evaluna Montaner - Índigo.webm"
"Candi Staton";"Young Hearts Run Free";"N/A";"N/A";"N/A";"Candi Staton - Young Hearts Run Free.txt";"C:\UltraStar canciones\C\Candi Staton - Young Hearts Run Free\Candi Staton - Young Hearts Run Free.txt";"N/A";"N/A"
"Carl Douglas";"Kung Fu Fighting";"N/A";"N/A";"English";"Carl Douglas - Kung Fu Fighting.txt";"C:\UltraStar canciones\C\Carl Douglas - Kung Fu Fighting\Carl Douglas - Kung Fu Fighting.txt";"N/A";"N/A"
"Carlos Baute";"Quien te quiere como yo";"N/A";"Pop";"Espa�ol";"Carlos Baute - Quien te quiere como yo.txt";"C:\UltraStar canciones\Carlos Baute - Quien te quiere como yo\Carlos Baute - Quien te quiere como yo.txt";"C:\UltraStar canciones\Carlos Baute - Quien te quiere como yo\Carlos Baute - Quien te quiere como yo.mp3";"C:\UltraStar canciones\Carlos Baute - Quien te quiere como yo\Carlos Baute - Quien te quiere como yo.avi"
"Carlos Baute";"Te regalo";"N/A";"Pop";"Español";"Carlos Baute - Te regalo.txt";"C:\UltraStar canciones\Carlos Baute - Te regalo\Carlos Baute - Te regalo.txt";"C:\UltraStar canciones\Carlos Baute - Te regalo\Carlos Baute - Te regalo.mp3";"C:\UltraStar canciones\Carlos Baute - Te regalo\Carlos Baute - Te regalo.avi"
"Carlos Baute";"Tú no sabes que tanto";"N/A";"Balada";"Español";"Carlos Baute - Tú no sabes que tanto.txt";"C:\UltraStar canciones\Carlos Baute - Tú no sabes que tanto\Carlos Baute - Tú no sabes que tanto.txt";"C:\UltraStar canciones\Carlos Baute - Tú no sabes que tanto\Carlos Baute - Tú no sabes que tanto.mp3";"C:\UltraStar canciones\Carlos Baute - Tú no sabes que tanto\Carlos Baute - Tú no sabes que tanto.avi"
"Carlos Baute";"Vamo' a la calle";"N/A";"Pop";"Español";"Carlos Baute - Vamo' a la calle.txt";"C:\UltraStar canciones\Carlos Baute - Vamo' a la calle\Carlos Baute - Vamo' a la calle.txt";"C:\UltraStar canciones\Carlos Baute - Vamo' a la calle\Carlos Baute - Vamo' a la calle.mp3";"C:\UltraStar canciones\Carlos Baute - Vamo' a la calle\Carlos Baute - Vamo' a la calle.mp4"
"Carlos Baute y Marta S�nchez";"Colgando en tus manos";"N/A";"Dueto";"Espa�ol";"Carlos Baute y Marta Sánchez - Colgando en tus manos.txt";"C:\UltraStar canciones\Carlos Baute y Marta Sánchez - Colgando en tus manos\Carlos Baute y Marta Sánchez - Colgando en tus manos.txt";"C:\UltraStar canciones\Carlos Baute y Marta Sánchez - Colgando en tus manos\Carlos Baute y Marta Sánchez - Colgando en tus manos.mp3";"C:\UltraStar canciones\Carlos Baute y Marta Sánchez - Colgando en tus manos\Carlos Baute y Marta Sánchez - Colgando en tus manos.avi"
"Carlos Baute y Marta S�nchez";"Colgando en tus manos";"N/A";"Dueto";"Espa�ol";"Carlos Baute y Marta Sánchez - Colgando en tus manos [MULTI].txt";"C:\UltraStar canciones\Carlos Baute y Marta Sánchez - Colgando en tus manos\Carlos Baute y Marta Sánchez - Colgando en tus manos [MULTI].txt";"C:\UltraStar canciones\Carlos Baute y Marta Sánchez - Colgando en tus manos\Carlos Baute y Marta Sánchez - Colgando en tus manos.mp3";"C:\UltraStar canciones\Carlos Baute y Marta Sánchez - Colgando en tus manos\Carlos Baute y Marta Sánchez - Colgando en tus manos.avi"
"Carlos Vives";"Volví a nacer";"N/A";"N/A";"Español";"Carlos Vives - Volví a nacer.txt";"C:\UltraStar canciones\Carlos Vives - Volví a nacer\Carlos Vives - Volví a nacer.txt";"C:\UltraStar canciones\Carlos Vives - Volví a nacer\Carlos Vives - Volví a nacer.mp3";"C:\UltraStar canciones\Carlos Vives - Volví a nacer\Carlos Vives - Volví a nacer.mp4"
"Carlos Vives y Marc Anthony";"Cuando nos volvamos a encontrar";"N/A";"Pop latino";"Español";"Carlos Vives y Marc Anthony - Cuando nos volvamos a encontrar [MULTI].txt";"C:\UltraStar canciones\Carlos Vives y Marc Anthony - Cuando nos volvamos a encontrar\Carlos Vives y Marc Anthony - Cuando nos volvamos a encontrar [MULTI].txt";"C:\UltraStar canciones\Carlos Vives y Marc Anthony - Cuando nos volvamos a encontrar\Carlos Vives y Marc Anthony - Cuando nos volvamos a encontrar.mp3";"C:\UltraStar canciones\Carlos Vives y Marc Anthony - Cuando nos volvamos a encontrar\Carlos Vives y Marc Anthony - Cuando nos volvamos a encontrar.mp4"
"Carlos Vives y Marc Anthony";"Cuando nos volvamos a encontrar";"N/A";"Pop latino";"Español";"Carlos Vives y Marc Anthony - Cuando nos volvamos a encontrar.txt";"C:\UltraStar canciones\Carlos Vives y Marc Anthony - Cuando nos volvamos a encontrar\Carlos Vives y Marc Anthony - Cuando nos volvamos a encontrar.txt";"C:\UltraStar canciones\Carlos Vives y Marc Anthony - Cuando nos volvamos a encontrar\Carlos Vives y Marc Anthony - Cuando nos volvamos a encontrar.mp3";"C:\UltraStar canciones\Carlos Vives y Marc Anthony - Cuando nos volvamos a encontrar\Carlos Vives y Marc Anthony - Cuando nos volvamos a encontrar.mp4"
"Carlos Vives y Ricky Martin";"Canción bonita";"N/A";"Vallenato";"Español";"Carlos Vives y Ricky Martin - Canción bonita [MULTI].txt";"C:\UltraStar canciones\Carlos Vives y Ricky Martin - Canción bonita\Carlos Vives y Ricky Martin - Canción bonita [MULTI].txt";"C:\UltraStar canciones\Carlos Vives y Ricky Martin - Canción bonita\Carlos Vives y Ricky Martin - Canción bonita.mp3";"C:\UltraStar canciones\Carlos Vives y Ricky Martin - Canción bonita\Carlos Vives y Ricky Martin - Canción bonita.webm"
"Carlos Vives y Ricky Martin";"Canción bonita";"N/A";"Vallenato";"Español";"Carlos Vives y Ricky Martin - Canción bonita.txt";"C:\UltraStar canciones\Carlos Vives y Ricky Martin - Canción bonita\Carlos Vives y Ricky Martin - Canción bonita.txt";"C:\UltraStar canciones\Carlos Vives y Ricky Martin - Canción bonita\Carlos Vives y Ricky Martin - Canción bonita.mp3";"C:\UltraStar canciones\Carlos Vives y Ricky Martin - Canción bonita\Carlos Vives y Ricky Martin - Canción bonita.webm"
"Carlos Vives y Shakira";"La bicicleta";"N/A";"Vallenato";"Español";"Carlos Vives y Shakira - La bicicleta [MULTI].txt";"C:\UltraStar canciones\Carlos Vives y Shakira - La bicicleta\Carlos Vives y Shakira - La bicicleta [MULTI].txt";"C:\UltraStar canciones\Carlos Vives y Shakira - La bicicleta\Carlos Vives y Shakira - La bicicleta.mp3";"C:\UltraStar canciones\Carlos Vives y Shakira - La bicicleta\Carlos Vives y Shakira - La bicicleta.mp4"
"Carlos Vives y Shakira";"La bicicleta";"N/A";"Vallenato";"Español";"Carlos Vives y Shakira - La bicicleta.txt";"C:\UltraStar canciones\Carlos Vives y Shakira - La bicicleta\Carlos Vives y Shakira - La bicicleta.txt";"C:\UltraStar canciones\Carlos Vives y Shakira - La bicicleta\Carlos Vives y Shakira - La bicicleta.mp3";"C:\UltraStar canciones\Carlos Vives y Shakira - La bicicleta\Carlos Vives y Shakira - La bicicleta.mp4"
"Carly Rae Jepsen";"Call Me Maybe";"N/A";"N/A";"English";"Carly Rae Jepsen - Call Me Maybe.txt";"C:\UltraStar canciones\C\Carly Rae Jepsen - Call Me Maybe\Carly Rae Jepsen - Call Me Maybe.txt";"N/A";"N/A"
"Carmen López";"Cuando mi vida va a comenzar";"N/A";"Soundtrack";"Español";"Carmen López - Cuando mi vida va a comenzar.txt";"C:\UltraStar canciones\Carmen López - Cuando mi vida va a comenzar\Carmen López - Cuando mi vida va a comenzar.txt";"C:\UltraStar canciones\Carmen López - Cuando mi vida va a comenzar\Carmen López - Cuando mi vida va a comenzar.mp3";"C:\UltraStar canciones\Carmen López - Cuando mi vida va a comenzar\Carmen López - Cuando mi vida va a comenzar.mp4"
"Carmen López y Toni Mateo";"Por fin ya veo la luz";"N/A";"Soundtrack";"Español";"Carmen López y Toni Mateo - Por fin ya veo la luz.txt";"C:\UltraStar canciones\Carmen López y Toni Mateo - Por fin ya veo la luz\Carmen López y Toni Mateo - Por fin ya veo la luz.txt";"C:\UltraStar canciones\Carmen López y Toni Mateo - Por fin ya veo la luz\Carmen López y Toni Mateo - Por fin ya veo la luz.mp3";"C:\UltraStar canciones\Carmen López y Toni Mateo - Por fin ya veo la luz\Carmen López y Toni Mateo - Por fin ya veo la luz.mp4"
"Carmen López y Tony Menguiano";"La puerta hacia el amor";"N/A";"Soundtrack";"Español";"Carmen López y Tony Menguiano - La puerta hacia el amor [MULTI].txt";"C:\UltraStar canciones\Carmen López y Tony Menguiano - La puerta hacia el amor\Carmen López y Tony Menguiano - La puerta hacia el amor [MULTI].txt";"C:\UltraStar canciones\Carmen López y Tony Menguiano - La puerta hacia el amor\Carmen López y Tony Menguiano - La puerta hacia el amor.mp3";"C:\UltraStar canciones\Carmen López y Tony Menguiano - La puerta hacia el amor\Carmen López y Tony Menguiano - La puerta hacia el amor.avi"
"Carmen López y Tony Menguiano";"La puerta hacia el amor";"N/A";"Soundtrack";"Español";"Carmen López y Tony Menguiano - La puerta hacia el amor.txt";"C:\UltraStar canciones\Carmen López y Tony Menguiano - La puerta hacia el amor\Carmen López y Tony Menguiano - La puerta hacia el amor.txt";"C:\UltraStar canciones\Carmen López y Tony Menguiano - La puerta hacia el amor\Carmen López y Tony Menguiano - La puerta hacia el amor.mp3";"C:\UltraStar canciones\Carmen López y Tony Menguiano - La puerta hacia el amor\Carmen López y Tony Menguiano - La puerta hacia el amor.avi"
"Carmen López, Toni Mateo y otros";"Mi sueño es";"N/A";"Soundtrack";"Español";"Carmen López, Toni Mateo y otros - Mi sueño es.txt";"C:\UltraStar canciones\Carmen López, Toni Mateo y otros - Mi sueño es\Carmen López, Toni Mateo y otros - Mi sueño es.txt";"C:\UltraStar canciones\Carmen López, Toni Mateo y otros - Mi sueño es\Carmen López, Toni Mateo y otros - Mi sueño es.mp3";"C:\UltraStar canciones\Carmen López, Toni Mateo y otros - Mi sueño es\Carmen López, Toni Mateo y otros - Mi sueño es.mp4"
"Carmen Sarahí";"Libre soy (De ""Frozen"")";"N/A";"Soundtrack";"Español";"Carmen Sarahí - Libre soy (De Frozen).txt";"C:\UltraStar canciones\Carmen Sarahí - Libre soy (De Frozen)\Carmen Sarahí - Libre soy (De Frozen).txt";"C:\UltraStar canciones\Carmen Sarahí - Libre soy (De Frozen)\Carmen Sarahí - Libre soy (De Frozen).mp3";"C:\UltraStar canciones\Carmen Sarahí - Libre soy (De Frozen)\Carmen Sarahí - Libre soy (De Frozen).mp4"
"Carmen Sarahí y Leslie Gil";"Muéstrate";"N/A";"BSO";"Español";"Carmen Sarahí y Leslie Gil - Muéstrate [MULTI].txt";"C:\UltraStar canciones\Carmen Sarahí y Leslie Gil - Muéstrate\Carmen Sarahí y Leslie Gil - Muéstrate [MULTI].txt";"C:\UltraStar canciones\Carmen Sarahí y Leslie Gil - Muéstrate\Carmen Sarahí y Leslie Gil - Muéstrate.mp3";"C:\UltraStar canciones\Carmen Sarahí y Leslie Gil - Muéstrate\Carmen Sarahí y Leslie Gil - Muéstrate.mp4"
"Carmen Sarahí y Leslie Gil";"Muéstrate";"N/A";"BSO";"Español";"Carmen Sarahí y Leslie Gil - Muéstrate.txt";"C:\UltraStar canciones\Carmen Sarahí y Leslie Gil - Muéstrate\Carmen Sarahí y Leslie Gil - Muéstrate.txt";"C:\UltraStar canciones\Carmen Sarahí y Leslie Gil - Muéstrate\Carmen Sarahí y Leslie Gil - Muéstrate.mp3";"C:\UltraStar canciones\Carmen Sarahí y Leslie Gil - Muéstrate\Carmen Sarahí y Leslie Gil - Muéstrate.mp4"
"Cats";"Memory";"N/A";"N/A";"English";"Cats - Memory.txt";"C:\UltraStar canciones\C\Cats - Memory\Cats - Memory.txt";"N/A";"N/A"
"Celia Cruz";"La vida es un carnaval";"N/A";"N/A";"Espa�ol";"Celia Cruz - La vida es un carnaval.txt";"C:\UltraStar canciones\Celia Cruz - La vida es un carnaval\Celia Cruz - La vida es un carnaval.txt";"C:\UltraStar canciones\Celia Cruz - La vida es un carnaval\Celia Cruz - La vida es un carnaval.mp3";"C:\UltraStar canciones\Celia Cruz - La vida es un carnaval\Celia Cruz - La vida es un carnaval.avi"
"Celine Dion";"If That's What It Takes";"N/A";"N/A";"English";"Celine Dion - If That's What It Takes.txt";"C:\UltraStar canciones\C\Celine Dion - If That's What It Takes\Celine Dion - If That's What It Takes.txt";"N/A";"N/A"
"Celine Dion";"My Heart Will Go On";"N/A";"N/A";"English";"Celine Dion - My Heart Will Go On.txt";"C:\UltraStar canciones\C\Celine Dion - My Heart Will Go On\Celine Dion - My Heart Will Go On.txt";"N/A";"N/A"
"Celine Dion";"The Power Of Love";"N/A";"N/A";"English";"Celine Dion - The Power Of Love.txt";"C:\UltraStar canciones\C\Celine Dion - The Power Of Love\Celine Dion - The Power Of Love.txt";"N/A";"N/A"
"Celine Dion & Peabo Bryson";"Beauty and the Beast";"N/A";"Soundtrack";"English";"Celine Dion & Peabo Bryson - Beauty and the Beast.txt";"C:\UltraStar canciones\C\Celine Dion & Peabo Bryson - Beauty and the Beast\Celine Dion & Peabo Bryson - Beauty and the Beast.txt";"N/A";"N/A"
"Chancho en Piedra";"Eligiendo una reina";"N/A";"Rock";"Español";"Chancho en Piedra - Eligiendo una reina.txt";"C:\UltraStar canciones\Chancho en Piedra - Eligiendo una reina\Chancho en Piedra - Eligiendo una reina.txt";"C:\UltraStar canciones\Chancho en Piedra - Eligiendo una reina\Chancho en Piedra - Eligiendo una reina.mp3";"C:\UltraStar canciones\Chancho en Piedra - Eligiendo una reina\Chancho en Piedra - Eligiendo una reina.mp4"
"Chancho en Piedra";"Historias de amor y cond�n";"N/A";"Rock";"Espa�ol";"Chancho en Piedra - Historias de amor y condón.txt";"C:\UltraStar canciones\Chancho en Piedra - Historias de amor y condón\Chancho en Piedra - Historias de amor y condón.txt";"C:\UltraStar canciones\Chancho en Piedra - Historias de amor y condón\Chancho en Piedra - Historias de amor y condón.mp3";"C:\UltraStar canciones\Chancho en Piedra - Historias de amor y condón\Chancho en Piedra - Historias de amor y condón.mp4"
"Charlene";"I've Never Been To Me";"N/A";"N/A";"N/A";"Charlene - I've Never Been To Me.txt";"C:\UltraStar canciones\C\Charlene - I've Never Been To Me\Charlene - I've Never Been To Me.txt";"N/A";"N/A"
"Charlie Puth";"One Call Away";"N/A";"Pop";"English";"Charlie Puth - One Call Away.txt";"C:\UltraStar canciones\C\Charlie Puth - One Call Away\Charlie Puth - One Call Away.txt";"N/A";"N/A"
"Charlie Puth feat. Meghan Trainor";"Marvin Gaye";"N/A";"Pop";"English";"Charlie Puth feat. Meghan Trainor - Marvin Gaye.txt";"C:\UltraStar canciones\C\Charlie Puth feat. Meghan Trainor - Marvin Gaye\Charlie Puth feat. Meghan Trainor - Marvin Gaye.txt";"N/A";"N/A"
"Charlotte Church";"Crazy Chick";"N/A";"N/A";"N/A";"Charlotte Church - Crazy Chick.txt";"C:\UltraStar canciones\C\Charlotte Church - Crazy Chick\Charlotte Church - Crazy Chick.txt";"N/A";"N/A"
"Charlotte Nilsson";"Take Me to Your Heaven";"N/A";"N/A";"N/A";"Charlotte Nilsson - Take me to your heaven.txt";"C:\UltraStar canciones\C\Charlotte Nilsson - Take Me To Your Heaven\Charlotte Nilsson - Take me to your heaven.txt";"N/A";"N/A"
"Chayanne";"Bailando bachata";"N/A";"Bachata";"Español";"Chayanne - Bailando bachata.txt";"C:\UltraStar canciones\Chayanne - Bailando bachata\Chayanne - Bailando bachata.txt";"C:\UltraStar canciones\Chayanne - Bailando bachata\Chayanne - Bailando bachata.mp3";"C:\UltraStar canciones\Chayanne - Bailando bachata\Chayanne - Bailando bachata.mp4"
"Chayanne";"Caprichosa";"N/A";"Pop";"Español";"Chayanne - Caprichosa.txt";"C:\UltraStar canciones\Chayanne - Caprichosa\Chayanne - Caprichosa.txt";"C:\UltraStar canciones\Chayanne - Caprichosa\Chayanne - Caprichosa.mp3";"C:\UltraStar canciones\Chayanne - Caprichosa\Chayanne - Caprichosa.mp4"
"Chayanne";"Completamente enamorados";"N/A";"Romantica";"Español";"Chayanne - Completamente enamorados.txt";"C:\UltraStar canciones\Chayanne - Completamente enamorados\Chayanne - Completamente enamorados.txt";"C:\UltraStar canciones\Chayanne - Completamente enamorados\Chayanne - Completamente enamorados.mp3";"C:\UltraStar canciones\Chayanne - Completamente enamorados\Chayanne - Completamente enamorados.avi"
"Chayanne";"Cuidarte el alma";"N/A";"POP";"Español";"Chayanne - Cuidarte el alma.txt";"C:\UltraStar canciones\Chayanne - Cuidarte el alma\Chayanne - Cuidarte el alma.txt";"C:\UltraStar canciones\Chayanne - Cuidarte el alma\Chayanne - Cuidarte el alma.mp3";"N/A"
"Chayanne";"Dar�a cualquier cosa";"N/A";"Pop";"Espa�ol";"Chayanne - Daría cualquier cosa.txt";"C:\UltraStar canciones\Chayanne - Daría cualquier cosa\Chayanne - Daría cualquier cosa.txt";"C:\UltraStar canciones\Chayanne - Daría cualquier cosa\Chayanne - Daría cualquier cosa.mp3";"C:\UltraStar canciones\Chayanne - Daría cualquier cosa\Chayanne - Daría cualquier cosa.mp4"
"Chayanne";"Dejaría todo";"N/A";"Balada";"Español";"Chayanne - Dejaría todo.txt";"C:\UltraStar canciones\Chayanne - Dejaría todo\Chayanne - Dejaría todo.txt";"C:\UltraStar canciones\Chayanne - Dejaría todo\Chayanne - Dejaría todo.mp3";"C:\UltraStar canciones\Chayanne - Dejaría todo\Chayanne - Dejaría todo.avi"
"Chayanne";"Humanos a marte";"N/A";"Pop";"Español";"Chayanne - Humanos a marte.txt";"C:\UltraStar canciones\Chayanne - Humanos a marte\Chayanne - Humanos a marte.txt";"C:\UltraStar canciones\Chayanne - Humanos a marte\Chayanne - Humanos a marte.mp3";"C:\UltraStar canciones\Chayanne - Humanos a marte\Chayanne - Humanos a marte.mp4"
"Chayanne";"La fuerza de amar";"N/A";"Romantica";"Español";"Chayanne - La fuerza de amar.txt";"C:\UltraStar canciones\Chayanne - La fuerza de amar\Chayanne - La fuerza de amar.txt";"C:\UltraStar canciones\Chayanne - La fuerza de amar\Chayanne - La fuerza de amar.mp3";"C:\UltraStar canciones\Chayanne - La fuerza de amar\Chayanne - La fuerza de amar.avi"
"Chayanne";"Madre Tierra (Oye)";"N/A";"Latino";"Espa�ol";"Chayanne - Madre Tierra (Oye).txt";"C:\UltraStar canciones\Chayanne - Madre Tierra (Oye)\Chayanne - Madre Tierra (Oye).txt";"C:\UltraStar canciones\Chayanne - Madre Tierra (Oye)\Chayanne - Madre Tierra (Oye).mp3";"C:\UltraStar canciones\Chayanne - Madre Tierra (Oye)\Chayanne - Madre Tierra (Oye).mp4"
"Chayanne";"Me enamor� de ti";"N/A";"N/A";"Espa�ol";"Chayanne - Me enamoré de ti.txt";"C:\UltraStar canciones\Chayanne - Me enamoré de ti\Chayanne - Me enamoré de ti.txt";"C:\UltraStar canciones\Chayanne - Me enamoré de ti\Chayanne - Me enamoré de ti.mp3";"C:\UltraStar canciones\Chayanne - Me enamoré de ti\Chayanne - Me enamoré de ti.mp4"
"Chayanne";"No te preocupes por mí";"N/A";"Pop";"Español";"Chayanne - No te preocupes por mí.txt";"C:\UltraStar canciones\Chayanne - No te preocupes por mí\Chayanne - No te preocupes por mí.txt";"C:\UltraStar canciones\Chayanne - No te preocupes por mí\Chayanne - No te preocupes por mí.mp3";"C:\UltraStar canciones\Chayanne - No te preocupes por mí\Chayanne - No te preocupes por mí.mp4"
"Chayanne";"Provócame";"N/A";"N/A";"Español";"Chayanne - Provócame.txt";"C:\UltraStar canciones\Chayanne - Provócame\Chayanne - Provócame.txt";"C:\UltraStar canciones\Chayanne - Provócame\Chayanne - Provócame.mp3";"C:\UltraStar canciones\Chayanne - Provócame\Chayanne - Provócame.mp4"
"Chayanne";"Salomé";"N/A";"Latina";"Español";"Chayanne - Salomé.txt";"C:\UltraStar canciones\Chayanne - Salomé\Chayanne - Salomé.txt";"C:\UltraStar canciones\Chayanne - Salomé\Chayanne - Salomé.mp3";"C:\UltraStar canciones\Chayanne - Salomé\Chayanne - Salomé.avi"
"Chayanne";"Sentada aquí en mi alma";"N/A";"Latinos";"Español";"Chayanne - Sentada aquí en mi alma.txt";"C:\UltraStar canciones\Chayanne - Sentada aquí en mi alma\Chayanne - Sentada aquí en mi alma.txt";"C:\UltraStar canciones\Chayanne - Sentada aquí en mi alma\Chayanne - Sentada aquí en mi alma.mp3";"C:\UltraStar canciones\Chayanne - Sentada aquí en mi alma\Chayanne - Sentada aquí en mi alma.mp4"
"Chayanne";"Te echo de menos";"N/A";"Pop";"Espa�ol";"Chayanne - Te echo de menos.txt";"C:\UltraStar canciones\Chayanne - Te echo de menos\Chayanne - Te echo de menos.txt";"C:\UltraStar canciones\Chayanne - Te echo de menos\Chayanne - Te echo de menos.mp3";"C:\UltraStar canciones\Chayanne - Te echo de menos\Chayanne - Te echo de menos.avi"
"Chayanne";"Tiempo de vals";"N/A";"Vals";"Espa�ol";"Chayanne - Tiempo de vals.txt";"C:\UltraStar canciones\Chayanne - Tiempo de vals\Chayanne - Tiempo de vals.txt";"C:\UltraStar canciones\Chayanne - Tiempo de vals\Chayanne - Tiempo de vals.mp3";"C:\UltraStar canciones\Chayanne - Tiempo de vals\Chayanne - Tiempo de vals.mp4"
"Chayanne";"Torero";"N/A";"Pop/Rock Latino";"Español";"Chayanne - Torero.txt";"C:\UltraStar canciones\Chayanne - Torero\Chayanne - Torero.txt";"C:\UltraStar canciones\Chayanne - Torero\Chayanne - Torero.mp3";"C:\UltraStar canciones\Chayanne - Torero\Chayanne - Torero.avi"
"Chayanne";"Un siglo sin ti";"N/A";"N/A";"Español";"Chayanne - Un siglo sin ti.txt";"C:\UltraStar canciones\Chayanne - Un siglo sin ti\Chayanne - Un siglo sin ti.txt";"C:\UltraStar canciones\Chayanne - Un siglo sin ti\Chayanne - Un siglo sin ti.mp3";"C:\UltraStar canciones\Chayanne - Un siglo sin ti\Chayanne - Un siglo sin ti.avi"
"Chayanne";"Volver a Nacer";"N/A";"Ballad";"Español";"Chayanne - Volver a Nacer.txt";"C:\UltraStar canciones\Chayanne - Volver a Nacer\Chayanne - Volver a Nacer.txt";"C:\UltraStar canciones\Chayanne - Volver a Nacer\Chayanne - Volver a Nacer.mp3";"C:\UltraStar canciones\Chayanne - Volver a Nacer\Chayanne - Volver a Nacer.mp4"
"Chayanne";"Y tú te vas";"N/A";"Pop";"Español";"Chayanne - Y tú te vas.txt";"C:\UltraStar canciones\Chayanne - Y tú te vas\Chayanne - Y tú te vas.txt";"C:\UltraStar canciones\Chayanne - Y tú te vas\Chayanne - Y tú te vas.mp3";"N/A"
"Chayanne";"Yo te amo";"N/A";"N/A";"Español";"Chayanne - Yo te amo.txt";"C:\UltraStar canciones\Chayanne - Yo te amo\Chayanne - Yo te amo.txt";"C:\UltraStar canciones\Chayanne - Yo te amo\Chayanne - Yo te amo.mp3";"C:\UltraStar canciones\Chayanne - Yo te amo\Chayanne - Yo te amo.avi"
"Cher";"If I Could Turn Back Time";"N/A";"N/A";"N/A";"Cher - If I Could Turn Back Time.txt";"C:\UltraStar canciones\C\Cher - If I Could Turn Back Time\Cher - If I Could Turn Back Time.txt";"N/A";"N/A"
"Cher";"Strong Enough";"N/A";"N/A";"English";"Cher - Strong Enough.txt";"C:\UltraStar canciones\C\Cher - Strong Enough\Cher - Strong Enough.txt";"N/A";"N/A"
"Chico Trujillo";"El conductor";"N/A";"Cumbia";"Español";"Chico Trujillo - El conductor.txt";"C:\UltraStar canciones\Chico Trujillo - El conductor\Chico Trujillo - El conductor.txt";"C:\UltraStar canciones\Chico Trujillo - El conductor\Chico Trujillo - El conductor.mp3";"C:\UltraStar canciones\Chico Trujillo - El conductor\Chico Trujillo - El conductor.mp4"
"Chico Trujillo";"Gran pecador";"N/A";"Cumbia";"Español";"Chico Trujillo - Gran pecador.txt";"C:\UltraStar canciones\Chico Trujillo - Gran pecador\Chico Trujillo - Gran pecador.txt";"C:\UltraStar canciones\Chico Trujillo - Gran pecador\Chico Trujillo - Gran pecador.mp3";"N/A"
"Chico trujillo";"La escoba";"N/A";"N/A";"Español";"Chico trujillo - La escoba.txt";"C:\UltraStar canciones\Chico trujillo - La escoba\Chico trujillo - La escoba.txt";"C:\UltraStar canciones\Chico trujillo - La escoba\Chico trujillo - La escoba.mp3";"C:\UltraStar canciones\Chico trujillo - La escoba\Chico trujillo - La escoba.avi"
"Chico Trujillo";"Loca";"N/A";"N/A";"Espa�ol";"Chico Trujillo - Loca.txt";"C:\UltraStar canciones\Chico Trujillo - Loca\Chico Trujillo - Loca.txt";"C:\UltraStar canciones\Chico Trujillo - Loca\Chico Trujillo - Loca.mp3";"N/A"
"Chico Trujillo";"Medallita";"N/A";"Cumbia";"Espa�ol";"Chico Trujillo - Medallita.txt";"C:\UltraStar canciones\Chico Trujillo - Medallita\Chico Trujillo - Medallita.txt";"C:\UltraStar canciones\Chico Trujillo - Medallita\Chico Trujillo - Medallita.mp3";"N/A"
"Chino & Nacho";"Niña bonita";"N/A";"Reggaeton";"Español";"Chino & Nacho - Niña bonita.txt";"C:\UltraStar canciones\Chino & Nacho - Niña Bonita\Chino & Nacho - Niña bonita.txt";"C:\UltraStar canciones\Chino & Nacho - Niña Bonita\Chino & Nacho - Niña bonita.mp3";"N/A"
"Christell";"Dubidubidu (Chipi Chipi Chapa Chapa)";"N/A";"N/A";"Español";"Christell - Dubidubidu (Chipi Chipi Chapa Chapa).txt";"C:\UltraStar canciones\Christell - Dubidubidu (Chipi Chipi Chapa Chapa)\Christell - Dubidubidu (Chipi Chipi Chapa Chapa).txt";"C:\UltraStar canciones\Christell - Dubidubidu (Chipi Chipi Chapa Chapa)\Christell - Dubidubidu (Chipi Chipi Chapa Chapa).mp3";"C:\UltraStar canciones\Christell - Dubidubidu (Chipi Chipi Chapa Chapa)\Christell - Dubidubidu (Chipi Chipi Chapa Chapa).webm"
"Christina Aguilera";"Beautiful";"N/A";"N/A";"English";"Christina Aguilera - Beautiful.txt";"C:\UltraStar canciones\C\Christina Aguilera - Beautiful\Christina Aguilera - Beautiful.txt";"N/A";"N/A"
"Christina Aguilera";"Falsas esperanzas";"N/A";"N/A";"Español";"Christina Aguilera - Falsas esperanzas.txt";"C:\UltraStar canciones\Christina Aguilera - Falsas esperanzas\Christina Aguilera - Falsas esperanzas.txt";"C:\UltraStar canciones\Christina Aguilera - Falsas esperanzas\Christina Aguilera - Falsas esperanzas.mp3";"C:\UltraStar canciones\Christina Aguilera - Falsas esperanzas\Christina Aguilera - Falsas esperanzas.mp4"
