"Artista";"Titulo";"Duracion";"Categoria";"Idioma";"Carpeta";"Letra";"Cancion";"Video"
"Aitana";"Vas a quedarte";"N/A";"Pop";"Español";"Aitana - Vas a quedarte.txt";"C:\UltraStar canciones\Aitana - Vas a quedarte\Aitana - Vas a quedarte.txt";"C:\UltraStar canciones\Aitana - Vas a quedarte\Aitana - Vas a quedarte.mp3";"C:\UltraStar canciones\Aitana - Vas a quedarte\Aitana - Vas a quedarte.mp4"
"Aitana y Cali & El Dandee";"+";"N/A";"Pop";"Español";"Aitana y Cali & El Dandee - +.txt";"C:\UltraStar canciones\Aitana y Cali & El Dandee - +\Aitana y Cali & El Dandee - +.txt";"C:\UltraStar canciones\Aitana y Cali & El Dandee - +\Aitana y Cali & El Dandee - +.mp3";"C:\UltraStar canciones\Aitana y Cali & El Dandee - +\Aitana y Cali & El Dandee - +.webm"
"Aitana y Cali & El Dandee";"+";"N/A";"Pop";"Español";"Aitana y Cali & El Dandee - + [MULTI].txt";"C:\UltraStar canciones\Aitana y Cali & El Dandee - +\Aitana y Cali & El Dandee - + [MULTI].txt";"C:\UltraStar canciones\Aitana y Cali & El Dandee - +\Aitana y Cali & El Dandee - +.mp3";"C:\UltraStar canciones\Aitana y Cali & El Dandee - +\Aitana y Cali & El Dandee - +.webm"
"Aitana y Nicki Nicole";"Formentera";"N/A";"Reguetón";"Español";"Aitana y Nicki Nicole - Formentera.txt";"C:\UltraStar canciones\Aitana y Nicki Nicole - Formentera\Aitana y Nicki Nicole - Formentera.txt";"C:\UltraStar canciones\Aitana y Nicki Nicole - Formentera\Aitana y Nicki Nicole - Formentera.mp3";"C:\UltraStar canciones\Aitana y Nicki Nicole - Formentera\Aitana y Nicki Nicole - Formentera.webm"
"Aitana y Nicki Nicole";"Formentera";"N/A";"Reguetón";"Español";"Aitana y Nicki Nicole - Formentera [MULTI].txt";"C:\UltraStar canciones\Aitana y Nicki Nicole - Formentera\Aitana y Nicki Nicole - Formentera [MULTI].txt";"C:\UltraStar canciones\Aitana y Nicki Nicole - Formentera\Aitana y Nicki Nicole - Formentera.mp3";"C:\UltraStar canciones\Aitana y Nicki Nicole - Formentera\Aitana y Nicki Nicole - Formentera.webm"
"Aitana y Sebastián Yatra";"Corazón sin vida";"N/A";"Urbano latino, Pop";"Español";"Aitana y Sebastián Yatra - Corazón sin vida.txt";"C:\UltraStar canciones\Aitana y Sebastián Yatra - Corazón sin vida\Aitana y Sebastián Yatra - Corazón sin vida.txt";"C:\UltraStar canciones\Aitana y Sebastián Yatra - Corazón sin vida\Aitana y Sebastián Yatra - Corazón sin vida.mp3";"C:\UltraStar canciones\Aitana y Sebastián Yatra - Corazón sin vida\Aitana y Sebastián Yatra - Corazón sin vida.webm"
"Aitana y Sebastián Yatra";"Corazón sin vida";"N/A";"Urbano latino, Pop";"Español";"Aitana y Sebastián Yatra - Corazón sin vida [MULTI].txt";"C:\UltraStar canciones\Aitana y Sebastián Yatra - Corazón sin vida\Aitana y Sebastián Yatra - Corazón sin vida [MULTI].txt";"C:\UltraStar canciones\Aitana y Sebastián Yatra - Corazón sin vida\Aitana y Sebastián Yatra - Corazón sin vida.mp3";"C:\UltraStar canciones\Aitana y Sebastián Yatra - Corazón sin vida\Aitana y Sebastián Yatra - Corazón sin vida.webm"
"Alanis Morisette";"Ironic";"N/A";"N/A";"English";"Alanis Morissette - Ironic.txt";"C:\UltraStar canciones\A\Alanis Morisette - Ironic\Alanis Morissette - Ironic.txt";"N/A";"N/A"
"Alanis Morisette";"That I Would Be Good";"N/A";"N/A";"English";"Alanis Morisette - That I Would Be Good.txt";"C:\UltraStar canciones\A\Alanis Morisette - That I Would Be Good\Alanis Morisette - That I Would Be Good.txt";"N/A";"N/A"
"Alanis Morissette";"Thank U";"N/A";"N/A";"English";"Alanis Morissette - Thank U.txt";"C:\UltraStar canciones\A\Alanis Morissette - Thank U\Alanis Morissette - Thank U.txt";"N/A";"N/A"
"Alannah Myles";"Black Velvet";"N/A";"N/A";"English";"Alannah Myles - Black Velvet.txt";"C:\UltraStar canciones\A\Alannah Myles - Black Velvet\Alannah Myles - Black Velvet.txt";"N/A";"N/A"
"Alejandro Sanz";"Amiga mía";"N/A";"Pop";"Español";"Alejandro Sanz - Amiga mía.txt";"C:\UltraStar canciones\Alejandro Sanz - Amiga mía\Alejandro Sanz - Amiga mía.txt";"C:\UltraStar canciones\Alejandro Sanz - Amiga mía\Alejandro Sanz - Amiga mía.mp3";"C:\UltraStar canciones\Alejandro Sanz - Amiga mía\Alejandro Sanz - Amiga mía.avi"
"Alejandro Sanz";"Corazón partío";"N/A";"N/A";"Español";"Alejandro Sanz - Corazón partío.txt";"C:\UltraStar canciones\Alejandro Sanz - Corazón partío\Alejandro Sanz - Corazón partío.txt";"C:\UltraStar canciones\Alejandro Sanz - Corazón partío\Alejandro Sanz - Corazón partío.mp3";"C:\UltraStar canciones\Alejandro Sanz - Corazón partío\Alejandro Sanz - Corazón partío.avi"
"Alejandro Sanz";"No es lo mismo";"N/A";"Pop";"Español";"Alejandro Sanz - No es lo mismo.txt";"C:\UltraStar canciones\Alejandro Sanz - No es lo mismo\Alejandro Sanz - No es lo mismo.txt";"C:\UltraStar canciones\Alejandro Sanz - No es lo mismo\Alejandro Sanz - No es lo mismo.mp3";"C:\UltraStar canciones\Alejandro Sanz - No es lo mismo\Alejandro Sanz - No es lo mismo.avi"
"Alejandro Sanz";"Y, ¿si fuera ella?";"N/A";"Pop";"Español";"Alejandro Sanz - Y, ¿si fuera ella.txt";"C:\UltraStar canciones\Alejandro Sanz - Y, ¿si fuera ella\Alejandro Sanz - Y, ¿si fuera ella.txt";"C:\UltraStar canciones\Alejandro Sanz - Y, ¿si fuera ella\Alejandro Sanz - Y, ¿si fuera ella.mp3";"C:\UltraStar canciones\Alejandro Sanz - Y, ¿si fuera ella\Alejandro Sanz - Y, ¿si fuera ella.avi"
"Alejandro Sanz y Marc Anthony";"Deja que te bese";"N/A";"Pop latino";"Español";"Alejandro Sanz y Marc Anthony - Deja que te bese.txt";"C:\UltraStar canciones\Alejandro Sanz y Marc Anthony - Deja que te bese\Alejandro Sanz y Marc Anthony - Deja que te bese.txt";"C:\UltraStar canciones\Alejandro Sanz y Marc Anthony - Deja que te bese\Alejandro Sanz y Marc Anthony - Deja que te bese.mp3";"C:\UltraStar canciones\Alejandro Sanz y Marc Anthony - Deja que te bese\Alejandro Sanz y Marc Anthony - Deja que te bese.webm"
"Alejandro Sanz y Marc Anthony";"Deja que te bese";"N/A";"Pop latino";"Español";"Alejandro Sanz y Marc Anthony - Deja que te bese [MULTI].txt";"C:\UltraStar canciones\Alejandro Sanz y Marc Anthony - Deja que te bese\Alejandro Sanz y Marc Anthony - Deja que te bese [MULTI].txt";"C:\UltraStar canciones\Alejandro Sanz y Marc Anthony - Deja que te bese\Alejandro Sanz y Marc Anthony - Deja que te bese.mp3";"C:\UltraStar canciones\Alejandro Sanz y Marc Anthony - Deja que te bese\Alejandro Sanz y Marc Anthony - Deja que te bese.webm"
"Alejandro Sanz y Shakira";"Te lo agradezco pero no";"N/A";"Pop latino";"Español";"Alejandro Sanz y Shakira - Te lo agradezco pero no.txt";"C:\UltraStar canciones\Alejandro Sanz y Shakira - Te lo agradezco pero no\Alejandro Sanz y Shakira - Te lo agradezco pero no.txt";"C:\UltraStar canciones\Alejandro Sanz y Shakira - Te lo agradezco pero no\Alejandro Sanz y Shakira - Te lo agradezco pero no.mp3";"C:\UltraStar canciones\Alejandro Sanz y Shakira - Te lo agradezco pero no\Alejandro Sanz y Shakira - Te lo agradezco pero no.avi"
"Aleks Syntek y Ana Torroja";"Duele el amor";"N/A";"Pop";"Español";"Aleks Syntek y Ana Torroja - Duele el amor.txt";"C:\UltraStar canciones\Aleks Syntek y Ana Torroja - Duele el amor\Aleks Syntek y Ana Torroja - Duele el amor.txt";"C:\UltraStar canciones\Aleks Syntek y Ana Torroja - Duele el amor\Aleks Syntek y Ana Torroja - Duele el amor.mp3";"C:\UltraStar canciones\Aleks Syntek y Ana Torroja - Duele el amor\Aleks Syntek y Ana Torroja - Duele el amor.avi"
"Aleks Syntek y Ana Torroja";"Duele el amor";"N/A";"Pop";"Español";"Aleks Syntek y Ana Torroja - Duele el amor [MULTI].txt";"C:\UltraStar canciones\Aleks Syntek y Ana Torroja - Duele el amor\Aleks Syntek y Ana Torroja - Duele el amor [MULTI].txt";"C:\UltraStar canciones\Aleks Syntek y Ana Torroja - Duele el amor\Aleks Syntek y Ana Torroja - Duele el amor.mp3";"C:\UltraStar canciones\Aleks Syntek y Ana Torroja - Duele el amor\Aleks Syntek y Ana Torroja - Duele el amor.avi"
"Alice Cooper";"No More Mr. Nice Guy";"N/A";"N/A";"N/A";"Alice Cooper - No More Mr. Nice Guy.txt";"C:\UltraStar canciones\A\Alice Cooper - No More Mr. Nice Guy\Alice Cooper - No More Mr. Nice Guy.txt";"N/A";"N/A"
"Alice Cooper";"Poison";"N/A";"N/A";"N/A";"Alice Cooper - Poison.txt";"C:\UltraStar canciones\A\Alice Cooper - Poison\Alice Cooper - Poison.txt";"N/A";"N/A"
"Alicia Keys";"Fallin'";"N/A";"N/A";"English";"Alicia Keys - Fallin'.txt";"C:\UltraStar canciones\A\Alicia Keys - Fallin'\Alicia Keys - Fallin'.txt";"N/A";"N/A"
"Alicia Keys";"Girl On Fire";"N/A";"N/A";"English";"Alicia Keys - Girl On Fire.txt";"C:\UltraStar canciones\A\Alicia Keys - Girl on fire\Alicia Keys - Girl On Fire.txt";"N/A";"N/A"
"All That Remains";"This Calling";"N/A";"N/A";"N/A";"All That Remains - This Calling.txt";"C:\UltraStar canciones\A\All that Remains - This Calling\All That Remains - This Calling.txt";"N/A";"N/A"
"All That Remains";"Two Weeks";"N/A";"Metal";"English";"All That Remains - Two Weeks.txt";"C:\UltraStar canciones\A\All That Remains - Two Weeks\All That Remains - Two Weeks.txt";"N/A";"N/A"
"Alphaville";"Forever Young";"N/A";"N/A";"English";"Alphaville - Forever Young.txt";"C:\UltraStar canciones\A\Alphaville - Forever Young\Alphaville - Forever Young.txt";"N/A";"N/A"
"Alter Bridge";"Metalingus";"N/A";"N/A";"N/A";"Alter Bridge - Metalingus.txt";"C:\UltraStar canciones\A\Alter Bridge - Metalingus\Alter Bridge - Metalingus.txt";"N/A";"N/A"
